"Activity Type","Transaction Ref ID",Customer/CFA,"Customer/CFA ID","Customer/CFA external ID","Customer/CFA Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/CFA Latitude","Customer/CFA Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Travelled (in meters)","Synced On"
"End Day",2639481,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:10:00,245042,"Naresh Ramdas Farkade_Amthana",3316788,"Sales Rep",246702,"ajay jadhav_Aurangabad",,,"Day Ended","Day Ended",,,20.2202883,75.5881433,,NA,"17 Dec 2025 09:22:27 AM"
Tourvisit,15977701,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,09:46:35,271700,"DESAI SREENIVASULU",3803283,"Sales Rep",240518,Bhanuprakash_Adoni,,,"Beginning of the day","Day start ",,,15.859019,77.2470024,"V65W+HR3, Kosigi, Andhra Pradesh 518313, India",NA,"17 Dec 2025 09:20:31 AM"
"End Day",2640616,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,17:25:27,269961,Shubham Fakirrao Jadhav ,3768543,"Sales Rep",231725,"Dhananjay Ushir_PIMPALGAON BASVANT",,,"Day Ended","Day Ended",,,20.1961651,74.0154441,,NA,"17 Dec 2025 09:14:41 AM"
"End Day",2641852,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:53:56,245321,"Shekhar Saini_Sumerpur",3363417,"Sales Rep",238107,"Jagat pal_Sumerpur",,,"Day Ended","Day Ended",,,25.374267,72.786777,,NA,"17 Dec 2025 09:04:02 AM"
"End Day",2639497,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:03:43,273443,"Kallayya M",3796526,"Sales Rep",258634," veerappa kivudanavar_Hubli",,,"Day Ended","Day Ended",,,15.4422647,74.8487169,,NA,"17 Dec 2025 09:00:32 AM"
"End Day",2639813,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:59:06,276074,"Akash Prakash Thakare",3752197,"Sales Rep",238969,"Vacant Po _Mukutban",,,"Day Ended","Day Ended",,,20.1782002,78.3151435,,NA,"17 Dec 2025 08:46:09 AM"
Campaign,33344343,Customer,15202018,"-- --",JAMMALAMADUGU_Proddatur,street,"-- --","Farmer Group",No,,,2025-12-16,18:55:39,254413,Busi Reddy Sai Tejaswar Reddy,3586339,"Sales Rep",240519,"M SUBBA REDDY_proddatur",Vijayawada,A732,"Organised Farmer Meeting","Organised Farmer Meeting",,,15.0549468805567,78.3029906354217,,NA,"17 Dec 2025 08:43:15 AM"
"End Day",2639479,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,07:42:22,231718,D.DHOMSE_Nashik,310,"Sales Manager",238579,"prajkta patil ",,,"Day Ended","Day Ended",,,20.2078396,74.0722218,,NA,"17 Dec 2025 08:43:10 AM"
Tourvisit,15977402,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,08:40:25,269567,Deepak Ashok Kale ,3768650,"Sales Rep",231725,"Dhananjay Ushir_PIMPALGAON BASVANT",,,"Beginning of the day","start of the day ",,,20.2816206,73.938301,"pumpalgaon road, beside Sai Gajanan petrolium, Vani, Tisgaon, Maharashtra 422215, India",NA,"17 Dec 2025 08:40:02 AM"
Tourvisit,15977401,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:07:57,280599,"Satyam Parashar",,"Sales Rep",242401,"Manoj Chouhan_KHANDWA",,,"End of the day","organigecin farmer meeting ",,52803.00,22.3444506,77.084837,"Btl, Masangaon, Harda, Madhya Pradesh 461331, India",NA,"17 Dec 2025 08:39:58 AM"
"End Day",2642269,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:08:02,280599,"Satyam Parashar",,"Sales Rep",242401,"Manoj Chouhan_KHANDWA",,,"Day Ended","Day Ended",,,22.3444506,77.084837,,NA,"17 Dec 2025 08:39:57 AM"
"End Day",2639017,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:54:45,280598,"Talasila Venkata Sai Krishna",,"Sales Rep",240515,"KARRI VINAY KUMAR SO_tenali",,,"Day Ended","Day Ended",,,16.1070279,80.6209085,,NA,"17 Dec 2025 08:32:48 AM"
"End Day",2641496,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:25:13,274707,"K Santosh Patra",3807920,"Sales Rep",268133,"PARAMITA PRIYADARSHANI_Jeypore",,,"Day Ended","Day Ended",,,19.0796123,83.8077861,,NA,"17 Dec 2025 08:31:35 AM"
"End Day",2641194,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:50:39,274527,"SHIJU S",3831729,"Sales Rep",239812,"Vinu Kumar S _Pallakad",,,"Day Ended","Day Ended",,,10.7101683,76.6164299,,NA,"17 Dec 2025 08:22:01 AM"
"End Day",2653427,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:05:07,274463,"Jadhav Dhiraj Sandip ",3823435,"Sales Rep",231724,"Shubham Shinde_NIPHAD",,,"Day Ended","Day Ended",,,20.0490132,74.2017454,,NA,"17 Dec 2025 08:03:39 AM"
"End Day",2639737,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:04:46,268359,"ISAHAK ALI",3767541,"Sales Rep",241198,"MD HAFIJUR RAHAMAN_MALDA",,,"Day Ended","Day Ended",,,25.7408542,88.153409,,NA,"17 Dec 2025 08:00:04 AM"
Tourvisit,15977197,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:25:14,254869,"Suvendu Sarkar ",3592057,"Sales Rep",241197,"Masud Rijwan_BERHAMPORE",,,"End of the day","End of the day ",,,24.112215,88.66179,"4M66+QQF, School Rd, Madhubona, West Bengal 742305, India",NA,"17 Dec 2025 07:57:53 AM"
"End Day",2640098,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:25:19,254869,"Suvendu Sarkar ",3592057,"Sales Rep",241197,"Masud Rijwan_BERHAMPORE",,,"Day Ended","Day Ended",,,24.112215,88.66179,,NA,"17 Dec 2025 07:57:53 AM"
"Start Day",2653330,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,09:28:41,239805,"MUTHU IRULAPPAN_Dindigul",B29,"Territory Manager",239800,"MUTHUMANI K-TRICHY",,,"Day Started","Day Started",,,10.288082,77.8519145,,NA,"17 Dec 2025 07:56:23 AM"
"End Day",2639749,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:58:37,270570,"Mr. Aditya Sambhaji Aher",3791843,"Sales Rep",239250,"Bhushan Gaikwad_Ahmednagar",,,"Day Ended","Day Ended",,,19.3794283,75.1223004,,NA,"17 Dec 2025 07:56:09 AM"
"End Day",2640280,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:30:58,239470,"Firoj shaikh",2617903,"Sales Rep",239454,"Samdhan devkatte _Osmanabad",,,"Day Ended","Day Ended",,,17.6937892,75.893964,,NA,"17 Dec 2025 07:53:26 AM"
"End Day",2638747,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:10:05,274223,"JATOTH VEERANNA",3823528,"Sales Rep",240486,"Vacant SO _Kothagudem",,,"Day Ended","Day Ended",,,17.6218061,80.6434312,,NA,"17 Dec 2025 07:52:07 AM"
"End Day",2639178,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:23:31,239802,"BALAKUMARAN _THANJAVUR",A47,"Territory Manager",239800,"MUTHUMANI K-TRICHY",,,"Day Ended","Day Ended",,,10.7740869,79.1661936,,NA,"17 Dec 2025 07:41:34 AM"
"Start Day",2653121,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,07:48:28,276086,"KEVAL PATEL",3852288,"Sales Rep",239261,"Manoj Singh_vadodara",,,"Day Started","Day Started",,,22.0584512,73.3094485,,NA,"17 Dec 2025 07:41:07 AM"
"End Day",2638975,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:47:49,238139,"Sachin Kumar_MOGA",A87,"Territory Manager",238136,"Sandeep Kumar_BHATINDA",,,"Day Ended","Day Ended",,,30.8082367,75.1805433,,NA,"17 Dec 2025 07:40:58 AM"
"End Day",2641383,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,23:10:37,278101,"Nikita Jivansing Dumale",3872536,"Sales Rep",239392,"sadanand kamale_JALGAON",,,"Day Ended","Day Ended",,,18.5227524,73.7624029,,NA,"17 Dec 2025 07:31:28 AM"
"End Day",2640187,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:15:19,239277,"SUDANI PRADIPKUMAR ARVINDBHAI _DHORAJI",3401379,"Sales Rep",239263,"mahek amreliya_Rajkot",,,"Day Ended","Day Ended",,,21.7355264,70.4563938,,NA,"17 Dec 2025 07:28:36 AM"
"End Day",2646860,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:15:56,278809,"ALLAMASETTI SOMASEKHAR",3903361,"Sales Rep",240487,"Lakshman Nallapati_TADEPALLIGUDEM",,,"Day Ended","Day Ended",,,16.8773094,81.5155117,,NA,"17 Dec 2025 07:24:02 AM"
"Visit Note",10573628,Customer,18239145,"-- --","S.R Fertilizer ","pudhur Road, nagalapuram , Vilathikulam , Nagalapuram, Tuticorin, Tamil Nadu, India, 628904",Nagalapuram,Retailer,No,9.233505800000,78.135346900000,2025-12-16,15:38:46,278847,SUNDARAPANDI.K,3896516,"Sales Rep",239803,"Sowenderrajan L _Tirunelveli","Trichy Warehouse",A772,"Customer Note",ReVisit,,,9.2335449,78.1353568,"64MP+C67, Road, Duraisamypuram, நாகலாபுரம், தமிழ் நாடு 628904, India",4.4819,"17 Dec 2025 07:12:13 AM"
"End Day",2639338,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:35:12,245002,"M SUNEEL KUMAR_Gadwal",I4,"Territory Manager",240666,"Bera Sharath Chandra Kiran",,,"Day Ended","Day Ended",,,16.2197672,77.7985551,,NA,"17 Dec 2025 07:01:51 AM"
"End Day",2638956,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:10:32,263554,"Rahul Maurya",3748009,"Sales Rep",263438,"Manish Verma_jhansi",,,"Day Ended","Day Ended",,,25.4562452,78.5953452,,NA,"17 Dec 2025 06:59:46 AM"
Tourvisit,15977003,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:26:08,269490,"GURIJALA PRAVEEN",3775366,"Sales Rep",240481,"Vacant SO_parkala",,,"End of the day","day end ",,,18.3804917,79.6131918,"9JH7+X6C, Arepally Village Main Rd, Arepally, Telangana 506356, India",NA,"17 Dec 2025 06:57:52 AM"
"End Day",2639255,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:26:14,269490,"GURIJALA PRAVEEN",3775366,"Sales Rep",240481,"Vacant SO_parkala",,,"Day Ended","Day Ended",,,18.3804917,79.6131918,,NA,"17 Dec 2025 06:57:52 AM"
"End Day",2640907,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:45:53,277546,Rajagopalan,3875401,"Sales Rep",239802,"BALAKUMARAN _THANJAVUR",,,"Day Ended","Day Ended",,,10.6703199,79.4375116,,NA,"17 Dec 2025 06:54:27 AM"
"End Day",2645955,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:34:46,239779,"KEERTHIKESWARAN J",3185485,"Sales Rep",239765,"Sakthivel B _Kancheepuram",,,"Day Ended","Day Ended",,,12.52945,80.086105,,NA,"17 Dec 2025 06:49:28 AM"
"End Day",2650350,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,23:12:23,277567,Chandan Prakash Thete,3872179,"Sales Rep",231725,"Dhananjay Ushir_PIMPALGAON BASVANT",,,"Day Ended","Day Ended",,,20.1781881,74.0655572,,NA,"17 Dec 2025 06:39:28 AM"
"End Day",2641763,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:41:31,240303,"Kattamuri S V N S S Bhaskar Mani Sekhar_Raichur",C34,"Territory Manager",240300,"Yankappa - Bellary",,,"Day Ended","Day Ended",,,16.2037367,77.3397467,,NA,"17 Dec 2025 06:37:39 AM"
"End Day",2639682,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:04:40,238264,"Mahendra Singh",3186201,"Sales Rep",238171,"ANIL KUMAR _Fatehabad",,,"Day Ended","Day Ended",,,29.3916138,75.5408432,,NA,"17 Dec 2025 06:25:19 AM"
Tourvisit,15976896,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,08:26:45,261793,"HARINDER SINGH",,"Sales Rep",238147,"Shelendra kumar_MUKTSAR",,,"Beginning of the day","good morning sir ji ",46145.00,,30.2795141,74.4817623,"7FJJ+2VW, Jhurar, Punjab 152112, India",NA,"17 Dec 2025 06:24:24 AM"
"End Day",2640122,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:17:14,261793,"HARINDER SINGH",,"Sales Rep",238147,"Shelendra kumar_MUKTSAR",,,"Day Ended","Day Ended",,,30.2795192,74.4817105,,NA,"17 Dec 2025 06:24:24 AM"
"End Day",2639816,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:15:28,276015,Jagadeesha.k,3796284,"Sales Rep",240304,"GARAPATI RAMESH SO-Kurugodu",,,"Day Ended","Day Ended",,,15.3482853,76.8345498,,NA,"17 Dec 2025 06:15:10 AM"
"Start Day",2651999,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:44:13,269752,"Ravinder Sharma",37733973,"Sales Rep",238139,"Sachin Kumar_MOGA",,,"Day Started","Day Started",,,30.6636662427238,74.9791975025329,,NA,"17 Dec 2025 06:10:46 AM"
Campaign,33342640,Customer,17175372,"-- --",Gill_moga,"street, Moga, Bagha Purana, B, Moga, Moga, Punjab, India, 142049",Moga,"Farmer Group",No,30.663048498259,74.978563963402,2025-12-16,20:44:23,269752,"Ravinder Sharma",37733973,"Sales Rep",238139,"Sachin Kumar_MOGA",A123-Ludhiana,A123,"Small Group Meeting","Small Group Meeting",,,30.6636662427238,74.9791975025329,"street, Moga, Bagha Purana, B, Moga, Moga, Punjab, 142049",91.5939,"17 Dec 2025 06:10:36 AM"
"End Day",2639278,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:56:39,268303,"Karthik R",3767412,"Sales Rep",239811,"M SIVAKUMAR _Coimbatore",,,"Day Ended","Day Ended",,,10.5086817,77.2036533,,NA,"17 Dec 2025 05:33:19 AM"
"End Day",2650861,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,23:05:51,241198,"MD HAFIJUR RAHAMAN_MALDA",K1,"Territory Manager",241109,"Mohit Kumar Saha_Corporate Tea",,,"Day Ended","Day Ended",,,24.8605572,88.0203931,,NA,"17 Dec 2025 05:16:27 AM"
"End Day",2650856,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:43:20,242325,"Gaurav Kandpal_BHOPAL",8104727,"Sales Manager",242322,"Nazhat kittur_CENTRAL",,,"Day Ended","Day Ended",,,23.7398501000,78.8083366000,,NA,"17 Dec 2025 05:16:27 AM"
"End Day",2650737,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:30:06,239283,"Parmar Gaurangkumar Dineshbhai_CA_Halvad",3370042,"Sales Rep",239265,"Jaywant Wable_Surendranagar",,,"Day Ended","Day Ended",,,23.0797948,71.2119237,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650731,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:40:35,238170,"Kuldeep Godara  _Hissar",A71,"Territory Manager",238159,Mohit_TL,,,"Day Ended","Day Ended",,,29.1731377000,75.7158586000,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650728,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:52:54,271271,"AKASHKUMAR VAGHELA",3792058,"Sales Rep",239260,"Ajit Shipte_gandhinagar",,,"Day Ended","Day Ended",,,23.2369039,72.6684988,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650716,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:16:13,239231,"Yogesh Kadam_Narayangaon",C65,"Territory Manager",239230,"Purushottam Ghatode-Pune",,,"Day Ended","Day Ended",,,19.1207584,73.9759837,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650702,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:09:19,243965,"Mohit Suryawanshi",3325119,"Sales Rep",242407,"Naveen Bopache_CHHINDWARA",,,"Day Ended","Day Ended",,,22.034093,78.9219495,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650690,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:59:24,278652,"RAVI KUMAR SINGH",,"Sales Rep",242414,"Vinay Kumar Singh_Bilaspur",,,"Day Ended","Day Ended",,,22.5570866,83.4726264,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650648,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:37:10,271525,"MALAKAM RAMARAO",3800400,"Sales Rep",240486,"Vacant SO _Kothagudem",,,"Day Ended","Day Ended",,,17.4561133,80.49297,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650617,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:00:24,246404,"Arun Harinkhede_Raipur",3379643,"Sales Rep",242411,"Lokesh Bhairam_DURG",,,"Day Ended","Day Ended",,,21.2427329,81.4797813,,NA,"17 Dec 2025 05:16:26 AM"
"End Day",2650602,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:04:51,242403,"Chetan Singh_BHOPAL",D64,"Territory Manager",242325,"Gaurav Kandpal_BHOPAL",,,"Day Ended","Day Ended",,,23.1910474,77.4407623,,NA,"17 Dec 2025 05:16:25 AM"
"End Day",2650490,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:00:18,277416,"Jalli Jagadeesh",3861050,"Sales Rep",262124,"Kottinto Sitarami Reddy_NANDAYAL",,,"Day Ended","Day Ended",,,15.3011345,78.3723122,,NA,"17 Dec 2025 05:16:25 AM"
"End Day",2650460,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:30:39,276825,"KANNELURU VASU",3854234,"Sales Rep",240519,"M SUBBA REDDY_proddatur",,,"Day Ended","Day Ended",,,14.8142537,78.3491038,,NA,"17 Dec 2025 05:16:25 AM"
"End Day",2650428,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:57:03,253772,"Thigulla Vinod",3560944,"Sales Rep",240480,"Karru Shiroj Kumar_Badrachalam",,,"Day Ended","Day Ended",,,18.0779996,80.8246582,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650407,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:47:53,238151,"Yatendera Rana_BARNALA",A64,"Territory Manager",239596,"Vacant TL_Punjab",,,"Day Ended","Day Ended",,,30.3601953,75.5332259,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650374,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:31:06,269488,"Arvind Kushwaha",3775523,"Sales Rep",242408,"Deepesh Tyagi_CHHATARPUR",,,"Day Ended","Day Ended",,,24.4255467,80.0403133,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650357,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,23:36:08,238124,"Madan Verma_LUCKNOW",A81,"Territory Manager",238114,"Digvijay Singh-East UP",,,"Day Ended","Day Ended",,,27.5659192,81.5861407,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650350,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:59:22,277567,Chandan Prakash Thete,3872179,"Sales Rep",231725,"Dhananjay Ushir_PIMPALGAON BASVANT",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650343,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,21:15:49,238974,"Bhushan Sainath Shende",3009674,"Sales Rep",238962,"Kunal Gawande _Nagpur",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:24 AM"
"End Day",2650306,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:06:28,269559,"INDRAJIT MONDAL",3779883,"Sales Rep",241101,"Susovan Ghosh_West Medinipur",,,"Day Ended","Day Ended",,,22.4378099,87.5000903,,NA,"17 Dec 2025 05:16:23 AM"
"End Day",2650266,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:41:03,244942,"Sushil mandal_Rajganj",3350092,"Sales Rep",241199,"GAUTAM  CHAUDHURI_ISLAMPUR",,,"Day Ended","Day Ended",,,26.5309302,88.5898057,,NA,"17 Dec 2025 05:16:23 AM"
"End Day",2650241,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,17:42:28,254332,"Sager Puri",3561257,"Sales Rep",231726,"Yogesh Bharti_Satana",,,"Day Ended","Day Ended",,,20.552635,74.2933689,,NA,"17 Dec 2025 05:16:23 AM"
"End Day",2650162,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,17:16:56,238995,"Amol Kherde_Amravati",,"Sales Manager",238961,"Akshay Yeware _Vidarbha",,,"Day Ended","Day Ended",,,27.810808,70.3360349,,NA,"17 Dec 2025 05:16:23 AM"
"End Day",2650070,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:36:17,241117,"Gonik Sarkar_Barpeta Road ",B45,"Territory Manager",241115,"SANDIP CHOWDHURY_Guwahati",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:22 AM"
"End Day",2650021,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,16:42:55,238147,"Shelendra kumar_MUKTSAR",A88,"Territory Manager",239596,"Vacant TL_Punjab",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:22 AM"
"End Day",2649957,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,16:31:12,238157,"Indravesh (HR & HP )",8103951,"Sales Manager",238582,"Vacant RMM ",,,"Day Ended","Day Ended",,,29.7221028,75.865589,,NA,"17 Dec 2025 05:16:22 AM"
"End Day",2649855,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,16:13:34,238162,"Tej Pratap Singh _Karnal",B25,"Territory Manager",238247,"Vacant TL-Krishan Kumar Pathak",,,"Day Ended","Day Ended",,,29.1925712,76.7507563,,NA,"17 Dec 2025 05:16:21 AM"
"End Day",2649834,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,22:09:35,275351,"Gourav Sharma",3843257,"Sales Rep",238694,"Saif _ABOHAR",,,"Day Ended","Day Ended",,,30.1517241,74.2132832,,NA,"17 Dec 2025 05:16:21 AM"
"End Day",2649804,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,19:00:31,238118,"Rohit Kharwar _ALIGARH",A56,"Territory Manager",238113,"vacant-TL-Western UP",,,"Day Ended","Day Ended",,,27.7923863,78.2856025,,NA,"17 Dec 2025 05:16:21 AM"
"End Day",2649701,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,15:34:14,282244,"Kapil poonia",,"Sales Rep",238171,"ANIL KUMAR _Fatehabad",,,"Day Ended","Day Ended",,,29.5122595,75.4478402,,NA,"17 Dec 2025 05:16:20 AM"
"End Day",2649511,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,18:38:50,241097,"Krishna Kumar_Muzaffarpur",D26,"Territory Manager",241093,"Amit Kumar_Patna",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:19 AM"
"End Day",2649472,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,15:22:47,239800,"MUTHUMANI K-TRICHY",8105438,"Sales Manager",270521,"Vacant AMM_SWR1 (TN, KL)",,,"Day Ended","Day Ended",,,10.0133588,77.4795227,,NA,"17 Dec 2025 05:16:19 AM"
"End Day",2649458,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,20:26:12,263865,"DHARAJIYA ASHVIN BHAI SEGHA BHAI",3753510,"Sales Rep",239264,"Deepak Chaturvedi_Bhavnagar",,,"Day Ended","Day Ended",,,22.3698789,71.6654214,,NA,"17 Dec 2025 05:16:19 AM"
"End Day",2649377,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2025-12-16,15:08:10,281781,"Godugu Srinivasulu",,"Sales Rep",240514," BINGINIPALLI SADIK_Markapuram",,,"Day Ended","Day Ended",,,,,,NA,"17 Dec 2025 05:16:18 AM"
